Player,Team,Amount,Year
Shane Warne,Rajasthan Royals,36686250.0,2008.0
Mahendra Singh Dhoni,Chennai Super Kings,122287500.0,2008.0
Adam Gilchrist,Deccan Chargers,57067500.0,2008.0
Shoaib Akhtar,Kolkata Knight Riders,34648125.0,2008.0
Mahela Jayawardene,Kings XI Punjab,38724375.0,2008.0
Muttiah Muralitharan,Chennai Super Kings,48915000.0,2008.0
Anil Kumble,Royal Challengers Bangalore,40762500.0,2008.0
Glenn McGrath[REC],Delhi Daredevils,28533750.0,2008.0
Mohammed Yousuf[REC],Unsold,,2008.0
Harbhajan Singh,Mumbai Indians,69296250.0,2008.0
Sanath Jayasuriya,Mumbai Indians,79486875.0,2008.0
Kumar Sangakkara,Kings XI Punjab,57067500.0,2008.0
Ricky Ponting,Kolkata Knight Riders,32610000.0,2008.0
Brett Lee,Kings XI Punjab,73372500.0,2008.0
Andrew Symonds,Deccan Chargers,110058750.0,2008.0
Michael Hussey[REC],Chennai Super Kings,20381250.0,2008.0
Daniel Vettori,Delhi Daredevils,50953125.0,2008.0
Matthew Hayden,Chennai Super Kings,30571875.0,2008.0
Brendon McCullum,Kolkata Knight Riders,57067500.0,2008.0
Jacob Oram,Chennai Super Kings,55029375.0,2008.0
Stephen Fleming,Chennai Super Kings,28533750.0,2008.0
Graeme Smith,Rajasthan Royals,20381250.0,2008.0
Herschelle Gibbs,Deccan Chargers,46876875.0,2008.0
Chris Gayle,Kolkata Knight Riders,65220000.0,2008.0
Shoaib Malik,Delhi Daredevils,40762500.0,2008.0
Shahid Afridi,Deccan Chargers,55029375.0,2008.0
Younis Khan,Rajasthan Royals,18343125.0,2008.0
Mohammad Asif,Delhi Daredevils,52991250.0,2008.0
Jacques Kallis,Royal Challengers Bangalore,73372500.0,2008.0
Zaheer Khan,Royal Challengers Bangalore,36686250.0,2008.0
Sreesanth,Kings XI Punjab,50953125.0,2008.0
Dinesh Karthik,Delhi Daredevils,42800625.0,2008.0
AB de Villiers,Delhi Daredevils,24457500.0,2008.0
