Player,Team,Amount,Year
Shane Warne,Rajasthan Royals,450000.0,2008.0
Mahendra Singh Dhoni,Chennai Super Kings,1500000.0,2008.0
Adam Gilchrist,Deccan Chargers,700000.0,2008.0
Shoaib Akhtar,Kolkata Knight Riders,425000.0,2008.0
Mahela Jayawardene,Kings XI Punjab,475000.0,2008.0
Muttiah Muralitharan,Chennai Super Kings,600000.0,2008.0
Anil Kumble,Royal Challengers Bangalore,500000.0,2008.0
Glenn McGrath[REC],Delhi Daredevils,350000.0,2008.0
Mohammed Yousuf[REC],Unsold,,2008.0
Harbhajan Singh,Mumbai Indians,850000.0,2008.0
Sanath Jayasuriya,Mumbai Indians,975000.0,2008.0
Kumar Sangakkara,Kings XI Punjab,700000.0,2008.0
Ricky Ponting,Kolkata Knight Riders,400000.0,2008.0
Brett Lee,Kings XI Punjab,900000.0,2008.0
Andrew Symonds,Deccan Chargers,1350000.0,2008.0
Michael Hussey[REC],Chennai Super Kings,250000.0,2008.0
Daniel Vettori,Delhi Daredevils,625000.0,2008.0
Matthew Hayden,Chennai Super Kings,375000.0,2008.0
Brendon McCullum,Kolkata Knight Riders,700000.0,2008.0
Jacob Oram,Chennai Super Kings,675000.0,2008.0
Stephen Fleming,Chennai Super Kings,350000.0,2008.0
Graeme Smith,Rajasthan Royals,250000.0,2008.0
Herschelle Gibbs,Deccan Chargers,575000.0,2008.0
Chris Gayle,Kolkata Knight Riders,800000.0,2008.0
Shoaib Malik,Delhi Daredevils,500000.0,2008.0
Shahid Afridi,Deccan Chargers,675000.0,2008.0
Younis Khan,Rajasthan Royals,225000.0,2008.0
Mohammad Asif,Delhi Daredevils,650000.0,2008.0
Jacques Kallis,Royal Challengers Bangalore,900000.0,2008.0
Zaheer Khan,Royal Challengers Bangalore,450000.0,2008.0
Sreesanth,Kings XI Punjab,625000.0,2008.0
Dinesh Karthik,Delhi Daredevils,525000.0,2008.0
AB de Villiers,Delhi Daredevils,300000.0,2008.0
Mark Boucher,Royal Challengers Bangalore,450000.0,2008.0
