,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kolkata Knight Riders,4950000.0,600000.0,750000.0,8575000.0,1650000.0,621000.0,4539000.0,489000.0,699000.0
Chennai Super Kings,5825000.0,1740000.0,150000.0,4115000.0,2000000.0,1181000.0,2551000.0,503000.0,0.0
Rajasthan Royals,2700000.0,1025000.0,150000.0,3095000.0,1155000.0,579000.0,2080000.0,257000.0,0.0
Mumbai Indians,3850000.0,1175000.0,750000.0,4020000.0,1700000.0,1840000.0,2569000.0,624000.0,1606000.0
Deccan Chargers,5885000.0,250000.0,720000.0,6875000.0,820000.0,0.0,0.0,0.0,0.0
Kings XI Punjab,4620000.0,600000.0,300000.0,6945000.0,550000.0,736000.0,4833000.0,417000.0,1293000.0
Royal Challengers Bangalore,3800000.0,1710000.0,220000.0,6840000.0,1220000.0,1670000.0,3740000.0,2305000.0,1893000.0
Delhi Daredevils,4825000.0,550000.0,610000.0,6450000.0,1900000.0,699000.0,7356000.0,4711000.0,3802000.0
Kochi Tuskers Kerala,0.0,0.0,0.0,7590000.0,0.0,0.0,0.0,0.0,0.0
Pune Warriors,0.0,0.0,0.0,8270000.0,0.0,2300000.0,0.0,0.0,0.0
Sunrisers Hyderabad,0.0,0.0,0.0,0.0,0.0,1306000.0,4540000.0,1435000.0,2668000.0
Rising Pune Supergiants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2674000.0
Gujarat Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2042000.0
